num,Name,RA,DEC,pmra,pmdec,V mag,R mag,I mag,otype,spt
198,HD90781,10:28:14.5610,-36:13:12.668,-0.0005276666666666667,-0.026088,7.44,,6.97,Star,F3V
199,pCar,10:32:01.4629,-61:41:07.196,-0.001134,0.0115,3.27,3.22,3.28,Be*,B4Vne
200,HD91619,10:33:25.3890,-58:11:24.536,-0.0004967333333333334,0.003315,6.26,5.79,5.51,BlueSG*,B6Iab
201,HD91805,10:35:10.4125,-43:39:52.512,-0.0031038000000000007,0.030949,6.1,5.32,5.32,PM*,G7IIICH-3
202,VUAnt,10:35:12.8510,-39:33:45.324,-0.002100266666666667,0.0026190000000000002,5.38,3.18,1.86,C*,C-N3
203,gamCha,10:35:28.1071,-78:36:28.032,-0.0025073333333333336,0.01108,4.12,2.86,1.88,V*,K4III
204,pVel,10:37:18.1399,-48:13:32.234,-0.008894,-0.00182,3.84,3.57,3.41,SB*,A3/5
205,HD92964,10:42:40.5664,-59:12:56.730,-0.00043573333333333337,0.002648,5.51,5.3,5.0,BlueSG*,B2.5Ia
206,tetCar,10:42:57.4019,-64:23:40.020,-0.001224,0.012029999999999999,2.76,2.87,3.1,SB*,B0Vp
207,VVYCar,10:44:32.6909,-57:33:55.327,-0.0004185333333333334,0.0025640000000000003,6.87,,6.299,deltaCep,F7Iab/b
208,HD93199,10:44:47.8875,-50:53:06.123,-0.003037066666666667,0.006053,7.873,,6.896,RotV*,G6III
209,etaCar,10:45:03.5377,-59:41:04.051,-0.0007333333333333334,0.0040999999999999995,6.48,4.9,4.41,Em*,OBepec
210,mu.Vel,10:46:46.1787,-49:25:12.924,0.004214666666666667,-0.05421,2.69,2.01,1.52,**,G6III
211,uCar,10:53:29.6561,-58:51:11.413,0.005211266666666667,0.0388,3.79,3.07,2.57,PM*,K0IV
212,iotAnt,10:56:43.0512,-37:08:15.962,0.004937933333333334,-0.124443,4.6,3.85,3.32,PM*,K0III
213,VUCar,10:57:48.1866,-59:43:55.883,-0.0003975333333333334,0.002397,6.11,,5.073,deltaCep,G5/8Iab
214,iVel,11:00:09.2642,-42:13:33.092,0.0015520000000000002,0.00429,4.39,4.26,4.19,Star,A3V
215,HD95799,11:02:25.1094,-58:45:37.378,-0.0025788666666666676,-0.007011,7.978,7.395,6.906,Star,G8III
216,HD95879,11:02:50.6037,-58:42:07.027,-0.0007591333333333335,0.004847000000000001,7.869,7.36,6.925,Star,G8III
217,HD96118,11:04:13.9409,-58:27:51.140,-0.0006460000000000001,0.002274,7.59,6.861,6.211,SB*,K3III+A/F
218,HD96174,11:04:33.8435,-58:41:39.407,-0.0006496000000000002,0.002556,7.751,7.286,6.828,SB*,G8III
