num,Name,RA,Dec,Equinox,pmra,pmdec,rotang,rot_mode,RA_probe1,Dec_probe1,equinox,RA_probe2,Dec_probe2,equinox ,epoch,#Notes,#V,#R,#I,#PI
15,TWHya,11:01:51.9,-34:42:17.0,2000.0,-0.0055394,-0.0139,0,EQU,00:00:00.00,+00:00:00.0,2000.0,00:00:00.00,+00:00:00.0,2000.0,2000.0,"#V=10.5,i<7,2.1e-2",,,,#Weinberger
14,PSF-SAO202005,11:00:57.02,-34:48:02.5,2000.0,0.0,0.0,0,EQU,00:00:00.0,+00:00:00,2000.0,00:00:00.0,+00:00:00,2000.0,2000.0,"#V=9.1,K0",,,,#Weinberger
10,HD92945,10:43:28.3,-29:03:51.4,2000.0,-0.0164352,-0.04989,0,EQU,00:00:00.00,+00:00:00.0,2000.0,00:00:00.00,+00:00:00.0,2000.0,2000.0,"#V=7.7,i=63,1.4e-5",#7.719,#7.232,#6.806,#Weinberger
97,HD157587,17:24:52.2,-18:51:33.2,2000.0,-0.0002683,-0.03125,0,EQU,00:00:00.00,+00:00:00.0,2000.0,00:00:00.00,+00:00:00.0,2000.0,2000.0,"#V=8.5,i=70",#8.5,#--,#--,#Weinberger
95,PSF-HD156123,17:18:24.0,-50:12:39.8,2000.0,-0.001432,-0.03474,0,EQU,00:00:00.00,+00:00:00.0,2000.0,00:00:00.00,+00:00:00.0,2000.0,2000.0,"#V=7.0,A0",,,,#Weinberger
96,HD156623,17:20:50.6,-45:25:15.0,2000.0,-0.001379,-0.03969,0,EQU,00:00:00.00,+00:00:00.0,2000.0,00:00:00.00,+00:00:00.0,2000.0,2000.0,"#V=7.3,i=35,5.0e-3,A0",#7.26,#--,#--,#Weinberger
88,HD146897,16:19:29.2,-21:24:13.3,2000.0,-0.000843,-0.02559,0,EQU,00:00:00.00,+00:00:00.0,2000.0,00:00:00.00,+00:00:00.0,2000.0,2000.0,"#V=9.1,i=84,Fdisk=2.6e-3",#9.11,#--,#--,#Weinberger
8,PSF-HD91551,10:33:51.34,-27:20:58.9,2000.0,-0.001996,-0.02187,0,EQU,00:00:00.00,+00:00:00.0,2000.0,00:00:00.00,+00:00:00.0,2000.0,2000.0,"#V=7.4,B-V=1.35",,,,#Weinberger
99,PSF-HD317501,18:24:26.96,-29:32:39.92,2000.0,0.0148,-0.12025,0,EQU,00:00:00.0,+00:00:00,2000.0,00:00:00.0,+00:00:00,2000.0,2000.0,"#V=8.6,R=7.8,F8,PSF",,,,#Weinberger
101,HD169142,18:24:29.8,-29:46:49.4,2000.0,-0.0001793,-0.03788,0,EQU,00:00:00.00,+00:00:00.0,2000.0,00:00:00.00,+00:00:00.0,2000.0,2000.0,"#V=8.2,i<13,1.5e-3",#8.16,#--,#--,#Weinberger
9,TWA7,10:42:30.1,-33:40:16.2,2000.0,-0.0095126,-0.01964,0,EQU,00:00:00.00,+00:00:00.0,2000.0,00:00:00.00,+00:00:00.0,2000.0,2000.0,"#V=10.9,i=28,2.0e-4",#10.91,#--,#9.1,#Weinberger
24,HD98800,11:22:05.3,-24:46:39.7,2000.0,-0.0064827,-0.0411,0,EQU,00:00:00.00,+00:00:00.0,2000.0,00:00:00.00,+00:00:00.0,2000.0,2000.0,"#V=8.9,i=67,binary",#9.28,#9.26,#7.386,#Weinberger
84,PSF-HD144271,16:05:08.49,-03:31:39.4,2000.0,-0.0014789,0.00931,0,EQU,00:00:00.0,+00:00:00,2000.0,00:00:00.0,+00:00:00,2000.0,2000.0,"#R=6.8,A0",,,,#Weinberger
85,PSF-HD144227,16:06:45.3,-46:22:44.8,2000.0,0.001549,-0.02208,0,EQU,00:00:00.00,+00:00:00.0,2000.0,00:00:00.00,+00:00:00.0,2000.0,2000.0,"#V=8.1,B-V=0.5",,,,#Weinberger
104,PSF-HD190009,20:03:44.3,-22:35:44.15,2000.0,-0.0027657,0.02244,0,EQU,00:00:00.00,+00:00:00.0,2000.0,00:00:00.00,+00:00:00.0,2000.0,2000.0,"#V=6.4,F7",,,,#Weinberger
50,HD117214,13:30:09.0,-58:29:04.4,2000.0,-0.004102,-0.02015,0,EQU,00:00:00.00,+00:00:00.0,2000.0,00:00:00.00,+00:00:00.0,2000.0,2000.0,"#V=8.1,i=71",#8.06,#--,#--,#Weinberger
48,HD115600,13:19:19.5,-59:28:20.4,2000.0,-0.004296,-0.01827,0,EQU,00:00:00.00,+00:00:00.0,2000.0,00:00:00.00,+00:00:00.0,2000.0,2000.0,"#V=8.2,i=80,Fdisk=1.7e-2",#8.22,#--,#--,#Weinberger
44,HD114082,13:09:16.2,-60:18:30.0,2000.0,-0.005352,-0.01996,0,EQU,00:00:00.00,+00:00:00.0,2000.0,00:00:00.00,+00:00:00.0,2000.0,2000.0,"#V=8.2,i=83,Fdisk=0.15",#8.21,#--,#--,#Weinberger
41,HD111520,12:50:19.7,-49:51:48.9,2000.0,-0.00365,-0.01665,0,EQU,00:00:00.00,+00:00:00.0,2000.0,00:00:00.00,+00:00:00.0,2000.0,2000.0,"#V=8.9,i=88,Fdisk=2.7e-2",#8.87,#--,#--,#Weinberger
74,HD141569,15:49:57.75,-03:55:16.3,2000.0,-0.0011641,-0.01911,0,EQU,00:00:00.0,+00:00:00,2000.0,00:00:00.0,+00:00:00,2000.0,2000.0,"#R=7.0,A0",#7.12,#7.0,#7.04,#Weinberger
40,HR4796A,12:36:01.0,-39:52:10.2,2000.0,-0.004834,-0.02388,0,EQU,00:00:00.00,+00:00:00.0,2000.0,00:00:00.00,+00:00:00.0,2000.0,2000.0,"#V=5.8,i=76,Fdisk=1.6e-2",#5.774,#7.25,#5.81,#Weinberger
39,PSF-HR4748,12:28:22.47,-39:02:28.2,2000.0,-0.0024047,-0.0127,0,EQU,00:00:00.00,+00:00:00.0,2000.0,00:00:00.00,+00:00:00.0,2000.0,2000.0,"#V=5.4,PSFforHR4796A",,,,#Weinberger
37,HD106906,12:17:53.2,-55:58:31.9,2000.0,-0.004654,-0.01269,0,EQU,00:00:00.00,+00:00:00.0,2000.0,00:00:00.00,+00:00:00.0,2000.0,2000.0,"#V=7.8,i=85",#8.89,#8.46,#--,#Weinberger
36,PSF-CD-78D487,12:04:57.44,-79:32:04.7,2000.0,-0.01453,0.0,0,EQU,00:00:00.0,+00:00:00,2000.0,00:00:00.0,+00:00:00,2000.0,2000.0,"#R=10,F0,PSF",,,,#Weinberger
34,TCha,11:57:13.28,-79:21:31.7,2000.0,0.0006535,-0.04159,0,EQU,00:00:00.00,+00:00:00.0,2000.0,00:00:00.00,+00:00:00.0,2000.0,2000.0,"#V=11.9,i=",,,,#Weinberger
28,HD100546,11:33:25.4,-70:11:41.2,2000.0,-0.0076205,-0.0001,0,EQU,00:00:00.00,+00:00:00.0,2000.0,00:00:00.00,+00:00:00.0,2000.0,2000.0,"#V=6.3,i=51,1.6e-2",#6.3,#--,#6.64,#Weinberger
82,HD143675,16:03:13.5,-35:17:14.9,2000.0,-0.001608,-0.02628,0,EQU,00:00:00.00,+00:00:00.0,2000.0,00:00:00.00,+00:00:00.0,2000.0,2000.0,"#V=8.0,i=87",#8.04,#--,#--,#Weinberger
